label,element,isotope,center_mass,exact_mass,mass_error,mass_min,mass_max,integrated_intensity,max_intensity,n_points
12C,C,12C,12.142001,12.0,0.1420010000000005,11.917001,12.367001,8839.0,600.0,65
13C,C,13C,13.196964,13.003355,0.1936089999999986,12.971964,13.421964,4016.0,254.0,62
57Fe,Fe,57Fe,56.830359,56.935393,-0.19335399999999936,56.517039,57.143679,66323.0,4005.0,43
63Cu,Cu,63Cu,62.868605,62.929598,-0.1847619999999992,62.519836,63.217374,289188.0,16600.0,45
64Zn,Zn,64Zn,63.8313965,63.929142,-0.1912710000000004,63.512871,64.149922,87387.0,4989.0,41
65Cu,Cu,65Cu,64.91144800000001,64.92779,-0.1577960000000047,64.544994,65.277902,130337.0,6953.0,47
66Zn,Zn,66Zn,65.952866,65.926034,-0.11573699999999576,65.58529700000001,66.32043499999999,48054.0,2517.0,47
69Ga,Ga,69Ga,68.9398665,68.925574,-0.12333300000000236,68.577241,69.302492,1917634.0,99392.0,44
71Ga,Ga,71Ga,70.9865945,70.924703,0.012611000000006811,70.712314,71.260875,9311.0,396.0,33
